shuffle	ce	0	59.04505807457463
shuffle	ce	10	40.228033259487816
shuffle	ce	2	53.51886145295438
shuffle	ce	3	52.20738851660447
shuffle	ce	4	49.75535980694284
shuffle	ce	5	49.70381369981756
shuffle	ce	6	48.06409653732272
shuffle	ce	7	46.3470525289275
shuffle	ce	8	43.0301347129574
shuffle	ce	9	41.88718941783988
shuffle	ce	all	27.767642689093762
shuffle	eisl	0	58.98936641546856
shuffle	eisl	10	52.720158949771786
shuffle	eisl	2	53.94099117720016
shuffle	eisl	3	55.532025339683635
shuffle	eisl	4	52.51099538201669
shuffle	eisl	5	51.841386533143094
shuffle	eisl	6	52.917382022259396
shuffle	eisl	7	52.36224342491539
shuffle	eisl	8	52.749013116182006
shuffle	eisl	9	51.065716689281956
shuffle	eisl	all	51.66449104608544
shuffle	pg	0	59.078304268377735
shuffle	pg	10	40.599026835535085
shuffle	pg	2	53.308558215426224
shuffle	pg	3	51.97828186663346
shuffle	pg	4	51.370012294080304
shuffle	pg	5	50.386735663469786
shuffle	pg	6	51.24730041491308
shuffle	pg	7	50.13267314320446
shuffle	pg	8	46.99832448666312
shuffle	pg	9	44.505335949647524
shuffle	pg	all	5.136883899245353
rep	ce	10	57.46941833073061
rep	ce	15	54.52139088626561
rep	ce	20	54.0053311464608
rep	ce	25	53.82933012960004
rep	ce	30	52.62403762910295
rep	ce	35	52.0240770061262
rep	ce	40	51.44060528234659
rep	ce	45	50.36587837934766
rep	ce	50	44.322495124729855
rep	ce	5	58.01227770799521
rep	eisl	10	58.16637828691079
rep	eisl	15	57.90046510604279
rep	eisl	20	58.05578659961776
rep	eisl	25	58.910637455656314
rep	eisl	30	58.43030333953181
rep	eisl	35	58.70063229589812
rep	eisl	40	58.73006094166916
rep	eisl	45	59.010567139921136
rep	eisl	50	57.85472127011859
rep	eisl	5	58.305437257930656
rep	pg	10	57.81276324315744
rep	pg	15	55.03804918654889
rep	pg	20	53.585836054567146
rep	pg	25	53.65394182676809
rep	pg	30	51.957737532861344
rep	pg	35	46.67476659715197
rep	pg	40	50.08919948045737
rep	pg	45	45.85401100789622
rep	pg	50	42.344904673659805
rep	pg	5	58.76830364146818
blank	ce	0.5	58.00611597516554
blank	ce	1.5	55.90213372820293
blank	ce	1	57.480004903665716
blank	ce	2.5	48.84849430718777
blank	ce	2	52.008433667714606
blank	ce	3.5	39.21734660069809
blank	ce	3	43.469653088872775
blank	ce	4.5	30.17277656641643
blank	ce	4	36.02025775016718
blank	ce	5	29.507446758023846
blank	eisl	0.5	59.22856290159273
blank	eisl	1.5	58.35950153624623
blank	eisl	1	58.96301890456021
blank	eisl	2.5	58.069731665479395
blank	eisl	2	58.387503743192184
blank	eisl	3.5	52.32278973139446
blank	eisl	3	52.31343169857588
blank	eisl	4.5	48.354041895030385
blank	eisl	4	48.1841423106295
blank	eisl	5	46.78289660275593
blank	pg	0.5	58.62606915725353
blank	pg	1.5	58.26018364893946
blank	pg	1	58.55214113641487
blank	pg	2.5	57.335300861860716
blank	pg	2	57.017899542816465
blank	pg	3.5	33.150046174742116
blank	pg	3	54.94760916983271
blank	pg	4.5	22.095023532181337
blank	pg	4	30.04616561163209
blank	pg	5	22.471206314164412
rsbs	ce	10	55.663941074101544
rsbs	ce	15	42.046237104413464
rsbs	ce	20	37.12196605496532
rsbs	ce	25	27.1316880827927
rsbs	ce	30	13.639879890270116
rsbs	ce	35	12.701585686100577
rsbs	ce	40	15.568575993291123
rsbs	ce	45	17.467185198056153
rsbs	ce	50	10.746200841377625
rsbs	ce	5	58.24499229507273
rsbs	eisl	10	58.50697194753754
rsbs	eisl	15	54.21951759259418
rsbs	eisl	20	52.01316217053604
rsbs	eisl	25	39.40468754097956
rsbs	eisl	30	44.57481263854866
rsbs	eisl	35	43.954087117463786
rsbs	eisl	40	48.59566375339154
rsbs	eisl	45	47.96945881060415
rsbs	eisl	50	17.44321558639837
rsbs	eisl	5	58.87777625856827
rsbs	pg	10	56.73550189355518
rsbs	pg	15	40.20947901983743
rsbs	pg	20	26.70226822533114
rsbs	pg	25	20.184625873021886
rsbs	pg	30	20.88486269164431
rsbs	pg	35	14.863222849191427
rsbs	pg	40	2.8174817182750105
rsbs	pg	45	2.3414309849484307
rsbs	pg	50	5.215510741166258
rsbs	pg	5	58.599456376914496
